StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q2.2,Q2.4,Q2.5,Q2.6,Q2.8_First Click,Q2.8_Last Click,Q2.8_Page Submit,Q2.8_Click Count,Q2.10,Q2.11_First Click,Q2.11_Last Click,Q2.11_Page Submit,Q2.11_Click Count,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.9_First Click,Q3.9_Last Click,Q3.9_Page Submit,Q3.9_Click Count,Q3.11,Q3.12_First Click,Q3.12_Last Click,Q3.12_Page Submit,Q3.12_Click Count,Q4.2_First Click,Q4.2_Last Click,Q4.2_Page Submit,Q4.2_Click Count,Q4.4,Q4.5_First Click,Q4.5_Last Click,Q4.5_Page Submit,Q4.5_Click Count,Q5.2,Q5.3_First Click,Q5.3_Last Click,Q5.3_Page Submit,Q5.3_Click Count,Q5.5,Q5.5_First Click,Q5.5_Last Click,Q5.5_Page Submit,Q5.5_Click Count,CoinFlip,Q6.2,Q7.2,Q7.3,Q8.1,Q8.2,Q8.3,Q8.4,id
2020-10-04 15:37:45,2020-10-04 15:50:24,Survey Preview,,100,759,True,2020-10-04 15:50:24,R_3KvUjQ6ERDzQnOd,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,321,False,True,False,,16.455,22.986,24.264,6,Option 1,2.163,2.163,3.279,1,,,,,,,,,,,,,,,,,,,,Option2,Option1,0,0,ony,ony,ony,,
2020-10-07 15:46:49,2020-10-07 15:47:44,Survey Preview,,100,54,True,2020-10-07 15:47:45,R_1Ia5GGUsWcMz8Bg,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,2.734,2.734,3.017,1,,1.697,1.697,1.963,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option1,Option2,,,,,,,
2020-10-07 17:07:36,2020-10-07 17:08:37,Survey Preview,,100,60,True,2020-10-07 17:08:37,R_2OVnXRwmMENJp22,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,0,0,2.45,0,,0,0,9.259,0,,,,,,,,,,,,,,,,,,,,Option1,Option1,,,,,,,
2020-10-07 17:29:33,2020-10-07 17:30:38,Survey Preview,,100,65,True,2020-10-07 17:30:38,R_3dJQF3Xr7eOo7oN,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.358,0,,0,0,11.622,0,,,,,,,,,,,Option2,Option2,,,,,,,
2020-10-07 17:31:25,2020-10-07 17:32:58,Survey Preview,,100,92,True,2020-10-07 17:32:58,R_3ffQ6RA1NhLbTPQ,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,3.724,3.724,4.523,1,,0,0,11.992,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option2,Option2,,,ony,,ony,,
2020-10-07 17:39:32,2020-10-07 17:40:05,Survey Preview,,100,33,True,2020-10-07 17:40:06,R_PvKYUJttJMYsUNj,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.035,0,,1.516,1.516,1.867,1,,,,,ony,,,,
2020-10-07 17:45:18,2020-10-07 17:46:13,Survey Preview,,100,55,True,2020-10-07 17:46:14,R_DkvlUFl2e5akHbX,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.092,0,Option 1,2.74,2.74,3.924,1,,,,,,,,,,,Option2,Option2,,,ony,,ony,,
2020-10-07 17:49:45,2020-10-07 17:50:22,Survey Preview,,100,36,True,2020-10-07 17:50:22,R_2OMFh9YKf6ipBHr,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,0,0,3.474,0,,0,0,2.195,0,,,,,,,,,,,,,,,,,,,,Option1,Option2,,,ony,,ony,,
2020-10-13 20:58:45,2020-10-13 21:00:07,Survey Preview,,100,81,True,2020-10-13 21:00:08,R_1l6r7bvexddHYII,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9.607,0,Option 1,9.322,9.322,11.924,1,,,,,,,,,,,Option2,Option1,,,ony,,ony,,
2020-10-13 22:13:07,2020-10-13 22:14:14,Survey Preview,,100,67,True,2020-10-13 22:14:15,R_2uL091Hzx7QJLQY,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9.776,0,Option 2,4.319,4.319,5.213,1,Option2,Option1,89,5,ony,,ony,,
2020-10-13 22:18:53,2020-10-13 22:19:27,Survey Preview,,100,33,True,2020-10-13 22:19:27,R_3nTSJDjuDGuSKVG,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,0,0,5.287,0,Option 2,1.392,1.392,2.273,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option2,Option2,,,ony,,ony,,
2020-10-14 10:50:29,2020-10-14 10:51:52,Survey Preview,,100,83,True,2020-10-14 10:51:52,R_3ERTLcDgkweJHDc,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7.838,0,Option 2,3.263,3.263,4.519,1,Option1,Option2,99,99,ony,,ony,,
2020-10-14 14:13:02,2020-10-14 14:18:06,Survey Preview,,100,304,True,2020-10-14 14:18:06,R_vGg6V9AtUjV6F5n,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,10,False,True,False,96.261,110.032,117.758,5,,0,0,10.008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option2,Option1,,,ony,ony,ony,,
2020-10-14 14:19:26,2020-10-14 14:20:23,Survey Preview,,100,57,True,2020-10-14 14:20:24,R_r9pIQoZhxEZzBXr,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,10,True,False,True,,4.617,12.659,13.525,6,Option 1,1.826,2.696,3.172,2,,,,,,,,,,,,,,,,,,,,Option2,Option1,85,13,ony,ony,ony,,
2020-10-14 14:21:14,2020-10-14 14:21:47,Survey Preview,,100,32,True,2020-10-14 14:21:47,R_DCAsNHFrXibmR6F,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.681,0,Option 2,1.323,1.323,3.305,1,,,,,,,,,,,Option2,Option1,,,ony,,ony,,
2020-10-14 14:29:28,2020-10-14 14:30:10,Survey Preview,,100,42,True,2020-10-14 14:30:11,R_2EzLJ0W3DTSIDqo,,,,,39.422607421875,-74.49590301513671875,preview,EN,,,,,,0,0,4.337,0,Option 1,2.39,2.39,3.674,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option2,Option1,,,ony,,ony,,
2020-10-14 14:30:23,2020-10-14 14:31:25,Survey Preview,,100,62,True,2020-10-14 14:31:25,R_2331yZWOUJJzOek,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.035,0,Option 2,23.836,23.836,29.166,1,,,,,,,,,,,Option1,Option2,,,ony,,ony,,
2020-10-14 14:58:03,2020-10-14 14:58:50,Survey Preview,,100,47,True,2020-10-14 14:58:51,R_3Pdk3oFxZTKPScS,,,,,39.422607421875,-74.49590301513671875,preview,EN,,,,,,,,,,,,,,,,,,,,,0,0,2.726,0,Option 2,4.446,4.446,5.233,1,,,,,,,,,,,,,,,,,,,,Option1,Option2,,,ony,,ony,,
2020-10-14 15:02:29,2020-10-14 15:08:23,Survey Preview,,100,354,True,2020-10-14 15:08:23,R_1lmz4e0aKe1L4tA,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.603,0,Option 2,289.468,289.468,290.463,1,Option2,Option2,88,88,ony,,ony,,
2020-10-14 15:08:49,2020-10-14 15:09:21,Survey Preview,,100,31,True,2020-10-14 15:09:21,R_2zewu7raZN3TZiS,,,,,39.422607421875,-74.49590301513671875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.492,0,,0,0,2.212,0,Option1,Option2,,,ony,,ony,,
2020-10-14 15:09:30,2020-10-14 15:10:23,Survey Preview,,100,53,True,2020-10-14 15:10:23,R_1gGuktwlxFwxtBJ,,,,,39.422607421875,-74.49590301513671875,preview,EN,,,,,,,,,,,,,,,,,,,,,0,0,19.9,0,,0,0,3.268,0,,,,,,,,,,,,,,,,,,,,Option1,Option1,,,ony,,ony,,
2020-10-14 15:21:16,2020-10-14 15:21:57,Survey Preview,,100,40,True,2020-10-14 15:21:57,R_OBf1aCFVQ7IUNgJ,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.315,0,Option 2,4.023,4.023,9.772,1,,,,,,,,,,,Option1,Option2,,,ony,,ony,,
2020-10-14 15:24:35,2020-10-14 15:25:17,Survey Preview,,100,42,True,2020-10-14 15:25:18,R_1JKqu50GDrMx5w3,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,4.126,4.126,4.448,1,Option 2,1.277,1.277,3.424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option1,Option2,,,ony,,ony,,
2020-10-14 15:50:16,2020-10-14 15:50:54,Survey Preview,,100,38,True,2020-10-14 15:50:55,R_3Jz44is7eq4NPYx,,,,,39.422607421875,-74.49590301513671875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.898,0,Option 1,2.036,3.725,6.38,2,,,,,,,,,,,Option1,Option2,,,ony,,ony,,
2020-10-14 15:52:13,2020-10-14 15:53:00,Survey Preview,,100,46,True,2020-10-14 15:53:00,R_1lAWzcOIjvxOZqz,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,9.603,9.603,10.41,1,Option 1,6.42,6.42,8.226,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option1,Option2,,,ony,,ony,,
2020-10-14 15:58:46,2020-10-14 15:59:39,Survey Preview,,100,53,True,2020-10-14 15:59:40,R_2dLMVJVS738BfM6,,,,,39.422607421875,-74.49590301513671875,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.665,0,Option 1,8.561,8.561,9.234,1,Option1,Option1,88,88,ony,,ony,,
2020-10-14 16:08:03,2020-10-14 16:09:10,Survey Preview,,100,66,True,2020-10-14 16:09:10,R_2q2kkzB0QyB4rpU,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,10,True,True,True,,2.722,7.117,8.458,6,,0.326,0.326,10.007,1,,,,,,,,,,,,,,,,,,,,Option1,Option2,88,88,ony,ony,ony,,
2020-10-14 16:20:56,2020-10-14 16:21:56,Survey Preview,,100,60,True,2020-10-14 16:21:57,R_Pu0KcXkjE1nEf6N,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,40,True,True,True,,2.478,9.917,12.831,6,Option 2,2.522,2.522,3.479,1,,,,,,,,,,,,,,,,,,,,Option1,Option1,88,88,ony,ony,ony,,
2020-10-14 16:34:16,2020-10-14 16:34:58,Survey Preview,,100,42,True,2020-10-14 16:34:59,R_3DwNCU48HZTF9YO,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.762,0,Option 2,2.067,2.067,5.11,1,,,,,,,,,,,Option2,Option2,,,ony,,ony,,
2020-10-14 20:43:11,2020-10-14 20:44:06,Survey Preview,,100,55,True,2020-10-14 20:44:07,R_1pWIdnVn1nPX1aQ,,,,,39.422607421875,-74.49590301513671875,preview,EN,,,,,,0,0,3,0,Option 2,3.319,3.319,4.508,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option2,Option1,,,ony,,ony,It was too short,
2020-10-14 20:47:45,2020-10-14 20:48:25,Survey Preview,,100,39,True,2020-10-14 20:48:25,R_SIc4g6O1BgbCGzf,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.145,4.001,4.441,2,Option 2,1.195,1.195,1.939,1,,,,,,,,,,,Option2,Option1,,,ony,,ony,It was too short,
2020-10-14 21:26:26,2020-10-14 21:27:08,Survey Preview,,100,42,True,2020-10-14 21:27:09,R_22kKpbzfn1vOY7S,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,0,0,3.139,0,Option 2,3.833,3.833,4.706,1,,,,,,,,,,,,,,,,,,,,Option2,Option1,,,,,,,
2020-10-14 21:39:14,2020-10-14 21:41:01,Survey Preview,,100,106,True,2020-10-14 21:41:01,R_3P5HuEaRhvOWJjR,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.63,1.908,1,Option 2,5.757,5.757,6.575,1,Option2,Option1,88,88,ony,,ony,It was too long,
2020-10-14 21:50:15,2020-10-14 21:51:13,Survey Preview,,100,57,True,2020-10-14 21:51:14,R_07F07Mtx4tuPkoF,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,10,False,True,True,4.836,11.466,13.459,7,Option 1,2.06,2.06,3.913,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Option1,Option2,,,ony,ony,ony,It was too short,
2020-10-14 22:05:58,2020-10-14 22:06:51,Survey Preview,,100,53,True,2020-10-14 22:06:52,R_1kTws7qSGCGhQl5,,,,,39.422607421875,-74.49590301513671875,preview,EN,I understand the information above and wish to continue,,,,,,,,,,,,,,,10,False,True,True,,2.923,10.701,11.157,6,Option 2,2.814,2.814,3.699,1,,,,,,,,,,,,,,,,,,,,Option2,Option1,88,88,ony,ony,ony,It was too short,
